transaction_id,client_id,timestamp,montant,devise,type_transaction,pays_dest,ip_source,device_type,heure_jour,jour_semaine,nouveau_beneficiaire,fraude_label
43,CLI000010,2026-03-16 15:41:00,175.44,TND,DEBIT,FR,192.168.155.234,MOBILE_ANDROID,15,0,True,0
44,CLI000022,2026-03-28 11:25:00,1692.27,EUR,DEBIT,RU,192.168.156.147,DESKTOP_CHROME,11,5,False,0
45,CLI000043,2026-03-13 00:55:00,1626.0,EUR,CREDIT,FR,192.168.222.101,MOBILE_ANDROID,0,4,False,0
46,CLI000093,2026-03-02 23:27:00,320.64,EUR,DEBIT,TN,192.168.251.98,DESKTOP_CHROME,23,0,False,0
47,CLI000081,2026-03-21 21:48:00,3809.15,EUR,DEBIT,FR,192.168.53.243,DESKTOP_FIREFOX,21,5,False,0
48,CLI000054,2026-03-25 09:42:00,2608.91,EUR,DEBIT,FR,192.168.101.17,MOBILE_ANDROID,9,2,False,0
49,CLI000090,2026-03-06 16:20:00,3200.26,EUR,CREDIT,FR,192.168.137.99,MOBILE_ANDROID,16,4,False,0
50,CLI000034,2026-03-18 05:27:00,1002.88,EUR,VIREMENT,FR,192.168.49.122,MOBILE_IOS,5,2,False,0
51,CLI000033,2026-03-04 14:04:00,181.52,EUR,VIREMENT,US,192.168.28.85,DESKTOP_FIREFOX,14,2,False,0
52,CLI000085,2026-03-26 02:58:00,3208.14,EUR,VIREMENT,MA,192.168.146.247,DESKTOP_CHROME,2,3,False,0
53,CLI000099,2026-03-14 08:13:00,717.34,EUR,CREDIT,IR,192.168.116.164,MOBILE_ANDROID,8,5,False,0
54,CLI000009,2026-03-29 14:38:00,187.22,EUR,VIREMENT,DE,192.168.230.78,MOBILE_IOS,14,6,False,0
55,CLI000074,2026-03-29 03:35:00,5026.34,EUR,DEBIT,FR,192.168.24.44,DESKTOP_CHROME,3,6,False,0
56,CLI000060,2026-03-17 11:00:00,12323.82,TND,DEBIT,RU,192.168.27.173,DESKTOP_FIREFOX,11,1,False,0
57,CLI000004,2026-03-27 06:37:00,944.36,EUR,DEBIT,FR,192.168.142.46,MOBILE_ANDROID,6,4,False,0
58,CLI000049,2026-03-09 18:01:00,13239.31,EUR,DEBIT,FR,192.168.9.212,MOBILE_IOS,18,0,False,0
59,CLI000088,2026-03-04 03:58:00,1107.19,EUR,VIREMENT,FR,192.168.177.155,MOBILE_IOS,3,2,False,0
60,CLI000001,2026-03-03 02:03:00,628.57,EUR,DEBIT,FR,192.168.126.7,MOBILE_IOS,2,1,False,0
61,CLI000051,2026-03-11 08:55:00,465.66,EUR,CREDIT,FR,192.168.48.51,MOBILE_ANDROID,8,2,False,0
62,CLI000070,2026-03-14 04:05:00,7076.25,EUR,DEBIT,FR,192.168.18.234,DESKTOP_FIREFOX,4,5,False,0
63,CLI000092,2026-03-04 15:09:00,389.1,EUR,DEBIT,MA,192.168.247.99,DESKTOP_CHROME,15,2,False,0
64,CLI000014,2026-03-11 14:16:00,2397.84,EUR,DEBIT,FR,192.168.73.53,DESKTOP_CHROME,14,2,False,0
65,CLI000032,2026-03-05 14:19:00,507.25,EUR,DEBIT,FR,192.168.60.75,MOBILE_IOS,14,3,True,0
66,CLI000053,2026-03-18 07:11:00,571.14,EUR,VIREMENT,FR,192.168.169.135,DESKTOP_CHROME,7,2,False,0
67,CLI000013,2026-03-13 15:37:00,3416.25,EUR,CREDIT,FR,192.168.18.117,DESKTOP_FIREFOX,15,4,False,0
68,CLI000094,2026-03-21 15:14:00,628.89,EUR,CREDIT,MA,192.168.15.95,MOBILE_IOS,15,5,False,0
69,CLI000048,2026-03-29 22:20:00,610.48,EUR,DEBIT,FR,192.168.133.3,DESKTOP_FIREFOX,22,6,False,0
70,CLI000018,2026-03-17 14:29:00,3863.64,TND,DEBIT,GB,192.168.44.84,DESKTOP_FIREFOX,14,1,False,0
71,CLI000097,2026-03-08 09:39:00,6747.16,EUR,DEBIT,MA,192.168.221.233,MOBILE_ANDROID,9,6,False,0
72,CLI000016,2026-03-17 20:20:00,2150.87,EUR,CREDIT,FR,192.168.106.101,MOBILE_ANDROID,20,1,False,0
73,CLI000062,2026-03-17 04:03:00,452.27,EUR,DEBIT,FR,192.168.41.254,DESKTOP_CHROME,4,1,False,0
74,CLI000039,2026-03-10 12:50:00,537.68,EUR,CREDIT,MA,192.168.29.34,MOBILE_IOS,12,1,False,0
75,CLI000001,2026-03-13 03:36:00,1092.14,EUR,CREDIT,TN,192.168.138.108,MOBILE_ANDROID,3,4,False,0
76,CLI000034,2026-03-30 11:49:00,1458.43,EUR,DEBIT,TN,192.168.123.191,DESKTOP_CHROME,11,0,False,0
77,CLI000095,2026-03-04 05:59:00,303.25,EUR,CREDIT,MA,192.168.18.100,MOBILE_IOS,5,2,False,0
78,CLI000010,2026-03-28 17:20:00,2362.9,EUR,CREDIT,FR,192.168.245.232,DESKTOP_FIREFOX,17,5,False,0
79,CLI000067,2026-03-29 21:33:00,1099.51,EUR,DEBIT,FR,192.168.222.53,DESKTOP_FIREFOX,21,6,False,0
80,CLI000074,2026-03-08 18:55:00,126.61,EUR,CREDIT,FR,192.168.34.223,MOBILE_ANDROID,18,6,False,0
81,CLI000047,2026-03-25 07:25:00,325.48,EUR,CREDIT,DE,192.168.53.80,DESKTOP_FIREFOX,7,2,False,0
82,CLI000072,2026-03-12 03:23:00,541.88,TND,DEBIT,TN,192.168.111.210,DESKTOP_CHROME,3,3,False,0
83,CLI000019,2026-03-08 10:28:00,909.21,EUR,DEBIT,FR,192.168.182.171,MOBILE_IOS,10,6,False,0
84,CLI000029,2026-03-22 00:54:00,9577.14,EUR,DEBIT,FR,192.168.122.41,MOBILE_IOS,0,6,False,0
85,CLI000075,2026-03-18 06:27:00,1320.55,EUR,VIREMENT,FR,192.168.155.148,MOBILE_ANDROID,6,2,False,0
86,CLI000024,2026-03-13 06:51:00,361.79,EUR,DEBIT,FR,192.168.241.80,DESKTOP_CHROME,6,4,False,0
87,CLI000007,2026-03-30 03:03:00,1293.05,EUR,DEBIT,TN,192.168.151.52,DESKTOP_CHROME,3,0,True,0
88,CLI000082,2026-03-26 08:20:00,650.34,EUR,DEBIT,TN,192.168.129.184,MOBILE_IOS,8,3,False,0
89,CLI000018,2026-03-10 23:52:00,1465.15,EUR,DEBIT,DE,192.168.176.118,MOBILE_ANDROID,23,1,False,0
90,CLI000089,2026-03-15 18:12:00,1991.58,EUR,DEBIT,FR,192.168.71.52,MOBILE_ANDROID,18,6,True,0
91,CLI000007,2026-03-03 13:05:00,4234.74,EUR,DEBIT,FR,192.168.2.254,DESKTOP_FIREFOX,13,1,False,0
92,CLI000038,2026-03-11 10:10:00,963.77,EUR,DEBIT,TN,192.168.37.115,DESKTOP_CHROME,10,2,False,0
93,CLI000037,2026-03-02 11:03:00,7092.21,TND,VIREMENT,MA,192.168.17.212,DESKTOP_FIREFOX,11,0,False,0
94,CLI000012,2026-03-15 08:33:00,2950.2,EUR,VIREMENT,FR,192.168.103.155,DESKTOP_FIREFOX,8,6,False,0
95,CLI000050,2026-03-19 06:10:00,5297.1,EUR,DEBIT,IR,192.168.207.64,MOBILE_IOS,6,3,False,1
96,CLI000088,2026-03-13 04:26:00,14070.37,EUR,VIREMENT,FR,192.168.135.85,DESKTOP_CHROME,4,4,True,0
97,CLI000041,2026-03-04 00:17:00,1469.08,EUR,DEBIT,FR,192.168.234.146,DESKTOP_CHROME,0,2,False,0
98,CLI000062,2026-03-10 14:26:00,364.25,EUR,CREDIT,FR,192.168.226.126,MOBILE_IOS,14,1,False,0
99,CLI000039,2026-03-26 19:30:00,7211.96,EUR,DEBIT,FR,192.168.118.119,MOBILE_ANDROID,19,3,False,0
100,CLI000085,2026-03-15 07:42:00,12008.06,EUR,DEBIT,FR,192.168.148.11,DESKTOP_FIREFOX,7,6,False,0
101,CLI000026,2026-03-10 16:14:00,953.72,EUR,DEBIT,FR,192.168.189.24,DESKTOP_FIREFOX,16,1,False,0
102,CLI000076,2026-03-30 19:54:00,542.19,EUR,DEBIT,TN,192.168.74.166,DESKTOP_FIREFOX,19,0,False,0
103,CLI000096,2026-03-23 17:17:00,806.86,EUR,CREDIT,FR,192.168.226.236,DESKTOP_FIREFOX,17,0,False,0
104,CLI000086,2026-03-19 00:08:00,2339.47,EUR,DEBIT,FR,192.168.117.89,DESKTOP_CHROME,0,3,False,0
105,CLI000082,2026-03-30 06:09:00,4598.24,EUR,DEBIT,RU,192.168.180.216,MOBILE_IOS,6,0,False,0
106,CLI000044,2026-03-21 21:11:00,1967.63,TND,VIREMENT,FR,192.168.183.203,MOBILE_ANDROID,21,5,False,0
107,CLI000022,2026-03-07 12:03:00,1121.1,EUR,CREDIT,FR,192.168.77.101,MOBILE_IOS,12,5,False,0
108,CLI000051,2026-03-13 01:19:00,5988.61,EUR,DEBIT,MA,192.168.157.211,MOBILE_IOS,1,4,False,0
109,CLI000049,2026-03-07 08:30:00,681.7,EUR,DEBIT,FR,192.168.208.218,DESKTOP_FIREFOX,8,5,False,0
110,CLI000062,2026-03-12 05:22:00,3419.0,EUR,VIREMENT,FR,192.168.45.107,DESKTOP_FIREFOX,5,3,False,0
111,CLI000033,2026-03-26 13:09:00,702.27,TND,DEBIT,FR,192.168.64.46,DESKTOP_FIREFOX,13,3,True,0
112,CLI000027,2026-03-25 12:42:00,1664.41,EUR,CREDIT,FR,192.168.231.159,MOBILE_IOS,12,2,False,0
113,CLI000010,2026-03-12 22:59:00,865.86,EUR,CREDIT,RU,192.168.188.111,MOBILE_ANDROID,22,3,False,0
114,CLI000024,2026-03-27 14:31:00,927.95,EUR,DEBIT,MA,192.168.118.99,MOBILE_ANDROID,14,4,False,0
115,CLI000078,2026-03-20 11:57:00,630.89,EUR,VIREMENT,TN,192.168.234.169,MOBILE_ANDROID,11,4,False,0
116,CLI000044,2026-03-27 13:22:00,4983.19,EUR,DEBIT,DE,192.168.47.179,DESKTOP_CHROME,13,4,False,0
117,CLI000008,2026-03-19 04:15:00,411.78,EUR,VIREMENT,MA,192.168.146.25,DESKTOP_CHROME,4,3,False,0
118,CLI000029,2026-03-17 11:23:00,408.19,EUR,CREDIT,FR,192.168.101.179,DESKTOP_FIREFOX,11,1,True,0
119,CLI000002,2026-03-10 23:33:00,12647.21,EUR,CREDIT,DE,192.168.243.12,MOBILE_ANDROID,23,1,False,0
120,CLI000028,2026-03-07 07:05:00,3208.05,EUR,VIREMENT,FR,192.168.62.227,DESKTOP_CHROME,7,5,False,0
121,CLI000010,2026-03-24 04:32:00,56.71,EUR,CREDIT,MA,192.168.223.41,MOBILE_IOS,4,1,False,0
122,CLI000047,2026-03-23 11:03:00,503.55,TND,CREDIT,DE,192.168.71.226,MOBILE_IOS,11,0,False,0
123,CLI000009,2026-03-05 03:17:00,112.8,EUR,DEBIT,FR,192.168.161.138,DESKTOP_FIREFOX,3,3,False,0
124,CLI000041,2026-03-03 03:27:00,317.09,EUR,VIREMENT,FR,192.168.75.171,MOBILE_IOS,3,1,False,0
125,CLI000046,2026-03-05 23:45:00,22.96,EUR,CREDIT,FR,192.168.235.18,DESKTOP_CHROME,23,3,False,0
126,CLI000008,2026-03-07 22:56:00,29571.05,TND,VIREMENT,RU,192.168.179.186,MOBILE_ANDROID,22,5,False,1
127,CLI000030,2026-03-29 13:20:00,252.06,EUR,VIREMENT,MA,192.168.185.231,DESKTOP_CHROME,13,6,False,0
128,CLI000064,2026-03-08 06:44:00,1066.23,EUR,DEBIT,DE,192.168.56.233,DESKTOP_CHROME,6,6,False,0
129,CLI000010,2026-03-20 05:06:00,141.15,EUR,DEBIT,FR,192.168.127.106,DESKTOP_FIREFOX,5,4,False,0
130,CLI000080,2026-03-28 03:26:00,1096.08,EUR,VIREMENT,FR,192.168.255.196,MOBILE_ANDROID,3,5,False,0
131,CLI000021,2026-03-03 21:23:00,603.11,EUR,CREDIT,FR,192.168.142.32,MOBILE_IOS,21,1,False,0
132,CLI000048,2026-03-18 12:16:00,6017.0,EUR,DEBIT,FR,192.168.255.95,MOBILE_ANDROID,12,2,False,0
133,CLI000026,2026-03-18 08:49:00,5397.16,EUR,DEBIT,FR,192.168.20.194,MOBILE_IOS,8,2,False,0
134,CLI000009,2026-03-28 02:52:00,2546.35,EUR,DEBIT,FR,192.168.27.130,DESKTOP_FIREFOX,2,5,False,0
135,CLI000043,2026-03-22 07:14:00,670.53,EUR,CREDIT,IR,192.168.197.200,MOBILE_ANDROID,7,6,False,0
136,CLI000059,2026-03-25 01:56:00,10747.8,EUR,CREDIT,FR,192.168.84.105,DESKTOP_CHROME,1,2,False,0
137,CLI000046,2026-03-12 10:36:00,153.91,EUR,DEBIT,FR,192.168.116.43,MOBILE_ANDROID,10,3,False,0
138,CLI000042,2026-03-26 04:16:00,184.15,EUR,DEBIT,TN,192.168.65.54,DESKTOP_FIREFOX,4,3,False,0
139,CLI000033,2026-03-01 12:32:00,897.36,TND,CREDIT,FR,192.168.130.12,MOBILE_ANDROID,12,6,True,0
140,CLI000062,2026-03-06 05:07:00,14836.5,EUR,VIREMENT,US,192.168.119.7,MOBILE_IOS,5,4,False,0
141,CLI000054,2026-03-25 10:30:00,778.36,EUR,DEBIT,US,192.168.19.164,MOBILE_ANDROID,10,2,False,0
142,CLI000083,2026-03-13 03:26:00,796.4,EUR,VIREMENT,FR,192.168.178.173,MOBILE_ANDROID,3,4,False,0
143,CLI000094,2026-03-30 04:06:00,175.86,EUR,DEBIT,FR,192.168.192.119,DESKTOP_FIREFOX,4,0,False,0
144,CLI000088,2026-03-16 11:33:00,3087.5,EUR,VIREMENT,FR,192.168.98.88,MOBILE_ANDROID,11,0,False,0
145,CLI000045,2026-03-06 01:50:00,3114.46,EUR,CREDIT,FR,192.168.191.103,MOBILE_ANDROID,1,4,False,0
146,CLI000012,2026-03-14 08:34:00,2557.77,EUR,VIREMENT,FR,192.168.220.50,DESKTOP_CHROME,8,5,False,0
147,CLI000022,2026-03-20 18:52:00,466.35,EUR,CREDIT,TN,192.168.102.10,MOBILE_ANDROID,18,4,False,0
148,CLI000063,2026-03-08 04:45:00,424.94,EUR,DEBIT,FR,192.168.3.65,MOBILE_ANDROID,4,6,False,0
149,CLI000095,2026-03-21 15:35:00,210.24,EUR,VIREMENT,FR,192.168.30.182,DESKTOP_FIREFOX,15,5,False,0
150,CLI000096,2026-03-01 03:32:00,1097.34,EUR,CREDIT,FR,192.168.235.35,MOBILE_IOS,3,6,False,0
151,CLI000068,2026-03-12 23:41:00,15511.99,EUR,DEBIT,RU,192.168.84.172,MOBILE_ANDROID,23,3,False,1
152,CLI000062,2026-03-23 18:46:00,241.56,EUR,DEBIT,FR,192.168.192.119,DESKTOP_CHROME,18,0,False,0
153,CLI000015,2026-03-09 03:08:00,596.79,EUR,DEBIT,FR,192.168.125.119,DESKTOP_FIREFOX,3,0,False,0
154,CLI000071,2026-03-24 02:31:00,551.7,EUR,CREDIT,FR,192.168.18.22,MOBILE_IOS,2,1,False,0
155,CLI000045,2026-03-05 20:13:00,520.31,EUR,CREDIT,GB,192.168.141.169,DESKTOP_FIREFOX,20,3,False,0
156,CLI000026,2026-03-29 10:59:00,1736.69,EUR,CREDIT,FR,192.168.63.183,MOBILE_IOS,10,6,False,0
157,CLI000073,2026-03-14 13:58:00,1091.01,EUR,DEBIT,TN,192.168.244.113,MOBILE_ANDROID,13,5,True,0
158,CLI000087,2026-03-30 01:54:00,702.2,EUR,DEBIT,MA,192.168.36.121,MOBILE_IOS,1,0,False,0
159,CLI000083,2026-03-24 02:30:00,1235.98,TND,DEBIT,FR,192.168.211.72,MOBILE_IOS,2,1,True,0
160,CLI000034,2026-03-28 17:09:00,301.92,EUR,DEBIT,TN,192.168.216.42,MOBILE_ANDROID,17,5,False,0
161,CLI000035,2026-03-10 01:15:00,1125.9,TND,VIREMENT,FR,192.168.44.215,DESKTOP_CHROME,1,1,False,0
162,CLI000049,2026-03-07 22:56:00,1188.83,EUR,VIREMENT,TN,192.168.5.156,DESKTOP_CHROME,22,5,False,0
163,CLI000038,2026-03-18 00:24:00,163.42,EUR,DEBIT,TN,192.168.26.46,MOBILE_ANDROID,0,2,False,0
164,CLI000097,2026-03-08 08:27:00,3277.49,EUR,CREDIT,FR,192.168.76.32,DESKTOP_FIREFOX,8,6,False,0
165,CLI000005,2026-03-25 13:08:00,344.56,EUR,CREDIT,FR,192.168.137.190,DESKTOP_FIREFOX,13,2,False,0
166,CLI000048,2026-03-25 03:17:00,1105.85,EUR,DEBIT,MA,192.168.101.44,MOBILE_IOS,3,2,False,0
167,CLI000020,2026-03-01 00:37:00,4013.0,EUR,VIREMENT,FR,192.168.20.172,DESKTOP_FIREFOX,0,6,False,0
168,CLI000084,2026-03-28 06:12:00,3013.36,TND,DEBIT,FR,192.168.196.3,DESKTOP_FIREFOX,6,5,False,0
169,CLI000040,2026-03-15 18:03:00,1034.01,EUR,CREDIT,FR,192.168.174.70,MOBILE_ANDROID,18,6,False,0
170,CLI000041,2026-03-23 05:41:00,642.27,EUR,CREDIT,FR,192.168.40.113,MOBILE_ANDROID,5,0,False,0
171,CLI000039,2026-03-01 21:16:00,3093.36,EUR,DEBIT,TN,192.168.92.46,MOBILE_IOS,21,6,False,0
172,CLI000080,2026-03-06 02:11:00,2229.73,EUR,DEBIT,FR,192.168.56.183,DESKTOP_FIREFOX,2,4,False,0
173,CLI000025,2026-03-17 12:28:00,472.46,EUR,DEBIT,FR,192.168.9.229,MOBILE_IOS,12,1,False,0
174,CLI000027,2026-03-14 23:53:00,382.27,EUR,DEBIT,FR,192.168.173.137,MOBILE_ANDROID,23,5,False,0
175,CLI000024,2026-03-11 21:32:00,82.53,TND,DEBIT,TN,192.168.56.114,DESKTOP_FIREFOX,21,2,False,0
176,CLI000075,2026-03-03 15:16:00,1193.73,EUR,VIREMENT,FR,192.168.179.13,MOBILE_IOS,15,1,False,0
177,CLI000069,2026-03-11 23:05:00,898.53,EUR,CREDIT,TN,192.168.215.163,MOBILE_IOS,23,2,False,0
178,CLI000007,2026-03-26 19:42:00,3879.38,EUR,VIREMENT,FR,192.168.208.134,DESKTOP_CHROME,19,3,False,0
179,CLI000099,2026-03-04 14:01:00,1526.7,EUR,VIREMENT,IR,192.168.165.170,DESKTOP_CHROME,14,2,False,0
180,CLI000094,2026-03-04 21:33:00,4920.06,EUR,CREDIT,FR,192.168.184.169,DESKTOP_FIREFOX,21,2,False,0
181,CLI000002,2026-03-23 02:49:00,429.73,EUR,DEBIT,FR,192.168.230.27,DESKTOP_FIREFOX,2,0,False,0
182,CLI000057,2026-03-04 03:35:00,3888.51,EUR,CREDIT,FR,192.168.100.177,MOBILE_ANDROID,3,2,False,0
183,CLI000086,2026-03-25 05:51:00,526.0,EUR,DEBIT,RU,192.168.79.114,MOBILE_ANDROID,5,2,False,0
184,CLI000008,2026-03-06 17:21:00,2522.78,EUR,DEBIT,DE,192.168.14.154,MOBILE_ANDROID,17,4,False,0
185,CLI000095,2026-03-06 20:14:00,172.34,EUR,CREDIT,FR,192.168.2.13,DESKTOP_CHROME,20,4,False,0
186,CLI000009,2026-03-22 15:08:00,1315.75,EUR,CREDIT,TN,192.168.198.97,MOBILE_IOS,15,6,False,0
187,CLI000017,2026-03-26 00:31:00,91.69,EUR,DEBIT,MA,192.168.197.52,MOBILE_ANDROID,0,3,False,0
188,CLI000032,2026-03-08 12:21:00,720.13,TND,DEBIT,FR,192.168.238.64,DESKTOP_CHROME,12,6,False,0
189,CLI000079,2026-03-13 01:30:00,1683.15,TND,DEBIT,FR,192.168.96.233,MOBILE_ANDROID,1,4,True,0
190,CLI000077,2026-03-25 00:21:00,531.04,EUR,CREDIT,FR,192.168.62.52,DESKTOP_CHROME,0,2,False,0
191,CLI000047,2026-03-28 14:33:00,281.31,EUR,VIREMENT,FR,192.168.24.5,DESKTOP_CHROME,14,5,False,0
192,CLI000067,2026-03-20 06:10:00,6121.99,EUR,CREDIT,RU,192.168.108.8,DESKTOP_FIREFOX,6,4,False,1
193,CLI000045,2026-03-10 15:20:00,876.42,EUR,VIREMENT,RU,192.168.254.4,MOBILE_IOS,15,1,False,0
194,CLI000065,2026-03-25 13:03:00,551.43,EUR,DEBIT,TN,192.168.87.211,DESKTOP_CHROME,13,2,False,0
195,CLI000049,2026-03-10 03:42:00,1043.44,EUR,DEBIT,FR,192.168.50.175,MOBILE_IOS,3,1,False,0
196,CLI000020,2026-03-15 04:28:00,23482.32,EUR,CREDIT,FR,192.168.172.17,MOBILE_ANDROID,4,6,False,0
197,CLI000051,2026-03-19 03:48:00,3960.81,EUR,DEBIT,TN,192.168.57.246,DESKTOP_FIREFOX,3,3,False,0
198,CLI000099,2026-03-30 13:50:00,4004.16,EUR,DEBIT,DE,192.168.226.25,DESKTOP_FIREFOX,13,0,False,0
199,CLI000016,2026-03-17 23:52:00,1673.47,EUR,CREDIT,DE,192.168.205.214,MOBILE_IOS,23,1,False,0
200,CLI000014,2026-03-20 22:31:00,1211.7,TND,VIREMENT,MA,192.168.213.171,DESKTOP_FIREFOX,22,4,False,0
201,CLI000025,2026-03-24 13:19:00,55.96,EUR,DEBIT,TN,192.168.43.186,DESKTOP_FIREFOX,13,1,False,0
202,CLI000015,2026-03-21 13:08:00,439.32,EUR,VIREMENT,FR,192.168.43.12,MOBILE_ANDROID,13,5,False,0
203,CLI000005,2026-03-06 12:10:00,557.42,TND,CREDIT,FR,192.168.107.132,MOBILE_ANDROID,12,4,False,0
204,CLI000044,2026-03-12 06:46:00,104.6,EUR,DEBIT,DE,192.168.28.209,DESKTOP_FIREFOX,6,3,False,0
205,CLI000088,2026-03-11 05:25:00,247.42,EUR,CREDIT,TN,192.168.84.83,DESKTOP_FIREFOX,5,2,False,0
206,CLI000080,2026-03-03 21:56:00,92.11,EUR,VIREMENT,FR,192.168.144.161,MOBILE_IOS,21,1,True,0
207,CLI000099,2026-03-16 09:16:00,947.67,EUR,CREDIT,FR,192.168.49.160,MOBILE_ANDROID,9,0,False,0
